title,url,published,stock,text,label
Nvidia stock sinks after data center sales miss forecasts,https://finance.yahoo.com/news/nvidia-stock-sinks-after-data-center-sales-miss-forecasts-ceo-calls-blackwell-demand-extraordinary-162719461.html,2025-08-25T16:27:19Z,NVDA,nvidia nvda stock dropped thursday morning wall street digested second quarter earnings beat top bottom line though data center revenue came shy analyst expectation chipmaker reported q data center revenue topped billion analyst expecting billion according data bloomberg segment revenue billion prioryear period number didnt include sale lowerpowered h chip china nvidia also noted approximately data center revenue came large cloud service provider share ai leader fell early trading falling following report wednesday nvidia reported adjusted earnings per share eps revenue billion analyst anticipating adjusted eps revenue billion company reported adjusted eps revenue billion quarter last year nvidia projected q revenue billion plus minus expectation billion company said projection didnt include h sale also approved additional billion stock buyback nvidia share year date past month wednesday afternoon july chipmaker became first company see market capitalization top trillion nvidias eps revenue growth moderated past quarter following massive growth spike saw onset ai craze total revenue growth latest quarter came slowest pace since first quarter fiscal year nvidia cfo colette kress noted data center compute revenue declined sequentially result billion reduction h sale revenue gaming nvidias secondlargest segment hit billion estimate statement ceo jensen huang said production nextgen blackwell chip ramping full speed demand extraordinary ai race huang added blackwell platform center report come flurry move company trump administration first saw trump revoke prior ban sale nvidias chip china requires ai giant pay government cut sale country trump initially banned sale chip china april dropped ban july adding fee august trump also announced place tariff semiconductor shipment u unless company commit building country nvidia exempt tariff,1
Nvidia's new investment is a game-changer for quantum stocks,https://www.thestreet.com/technology/nvidias-new-investment-is-a-game-changer-for-quantum-stocks,2025-09-06T02:03:00Z,NVDA,,0
Nvidia suffers a major blow from China,https://www.thestreet.com/technology/nvidia-suffers-a-major-blow-from-china-,2025-09-16T04:03:00Z,NVDA,,1
"Nvidia stock sinks after data center sales miss forecasts, CEO calls Blackwell demand 'extraordinary'",https://finance.yahoo.com/news/nvidia-stock-sinks-data-center-162719534.html,2025-08-25T16:27:19Z,NVDA,nvidia nvda stock dropped thursday morning wall street digested second quarter earnings beat top bottom line though data center revenue came shy analyst expectation chipmaker reported q data center revenue topped billion analyst expecting billion according data bloomberg segment revenue billion prioryear period number didnt include sale lowerpowered h chip china nvidia also noted approximately data center revenue came large cloud service provider share ai leader fell early trading falling following report wednesday nvidia reported adjusted earnings per share eps revenue billion analyst anticipating adjusted eps revenue billion company reported adjusted eps revenue billion quarter last year nvidia projected q revenue billion plus minus expectation billion company said projection didnt include h sale also approved additional billion stock buyback nvidia share year date past month wednesday afternoon july chipmaker became first company see market capitalization top trillion nvidias eps revenue growth moderated past quarter following massive growth spike saw onset ai craze total revenue growth latest quarter came slowest pace since first quarter fiscal year nvidia cfo colette kress noted data center compute revenue declined sequentially result billion reduction h sale revenue gaming nvidias secondlargest segment hit billion estimate statement ceo jensen huang said production nextgen blackwell chip ramping full speed demand extraordinary ai race huang added blackwell platform center report come flurry move company trump administration first saw trump revoke prior ban sale nvidias chip china requires ai giant pay government cut sale country trump initially banned sale chip china april dropped ban july adding fee august trump also announced place tariff semiconductor shipment u unless company commit building country nvidia exempt tariff,1
Jim Cramer drops shock call on Magnificent 7 stocks,https://www.thestreet.com/technology/jim-cramer-drops-shock-call-on-magnificent-7-stocks,2025-09-16T20:07:00Z,NVDA,,1
Nvidia will deliver key earnings report this week,https://www.thestreet.com/investing/stocks/nvidia-will-deliver-key-earnings-report-this-week,2025-08-24T10:58:30Z,NVDA,,1
"Nvidia to report second quarter earnings, expects $8 billion hit from China chip ban",https://finance.yahoo.com/news/nvidia-to-report-second-quarter-earnings-expects-8-billion-hit-from-china-chip-ban-162719205.html,2025-08-25T16:27:19Z,NVDA,nvidia nvda stock dropped thursday morning wall street digested second quarter earnings beat top bottom line though data center revenue came shy analyst expectation chipmaker reported q data center revenue topped billion analyst expecting billion according data bloomberg segment revenue billion prioryear period number didnt include sale lowerpowered h chip china nvidia also noted approximately data center revenue came large cloud service provider share ai leader fell early trading falling following report wednesday nvidia reported adjusted earnings per share eps revenue billion analyst anticipating adjusted eps revenue billion company reported adjusted eps revenue billion quarter last year nvidia projected q revenue billion plus minus expectation billion company said projection didnt include h sale also approved additional billion stock buyback nvidia share year date past month wednesday afternoon july chipmaker became first company see market capitalization top trillion nvidias eps revenue growth moderated past quarter following massive growth spike saw onset ai craze total revenue growth latest quarter came slowest pace since first quarter fiscal year nvidia cfo colette kress noted data center compute revenue declined sequentially result billion reduction h sale revenue gaming nvidias secondlargest segment hit billion estimate statement ceo jensen huang said production nextgen blackwell chip ramping full speed demand extraordinary ai race huang added blackwell platform center report come flurry move company trump administration first saw trump revoke prior ban sale nvidias chip china requires ai giant pay government cut sale country trump initially banned sale chip china april dropped ban july adding fee august trump also announced place tariff semiconductor shipment u unless company commit building country nvidia exempt tariff,1
Zacks Investment Ideas feature highlights: NVIDIA,https://finance.yahoo.com/news/zacks-investment-ideas-feature-highlights-080700988.html,2025-08-22T08:07:00Z,NVDA,fascinating week ai robotics nvidia presented siggraph premier computer graphic conference took place vancouver thursday find first friday morning recommendation follow nvidianewsroom nvidiarobotics kevinbcook x stay date latest there staggering number industrychanging application market enabled nvidia jetson well featuring company daily week stay tuned exciting product news coming last day nextgeneration nvidia jetson thor platform built physical ai humanoid robotics support popular ai framework generative ai model fully compatible nvidias software stack cloud edge including nvidia isaac robotics simulation development isaac grt humanoid robot foundation model nvidia metropolis vision ai nvidia holoscan realtime sensor processing nvidia team going wrap week friday special product announcement blog may seen serve robot cart delivering food item busy city street cute camera eye big buggy wheel friendly yellow safety flag fit right sidewalk picture toddler pop head anytime nvidia robotics group featuring innovation partner like peer robotics serve robotics carbon robotics lucid bot diligent robotics dexmate week nvidia celebrating million developer using nvidia robotics stack builder reshaping industry across manufacturing food delivery agriculture healthcare facility maintenance much little know jensen co planning virtual robot party week much celebrate new innovation right around corner ahead company earnings report next week last friday wrote special coverage tazr trader member siggraph computer vision event nvidia attended vancouver include note robot matrix dont miss video humanoid running human meter story continues blog post summarizes many innovation around central theme worker safety world hybrid humanrobotic team making safer space nvidia partner bring physical ai city industrial infrastructure sure visit one weekend compelling graphic economic human stats stake new world work entering plus lot research link five company advancing physical ai check video clip wonderfully illustrates need plenty training guardrail humanoid work buddy unitree win gold medal run world humanoid robot game breaking im writing beach group differentlyabled adult came table especially curious young man named steven standing wanted know laptop course asked played video game thought much better graphic become last year x x x anyway steven like tell joke showed video robot running human said grin thats unsportsmanlike put article joke also say gpus like kind chip doritos crunchers see thats joke made laugh made day nvidia research shape physical ai know two exciting reason stay long nvidia surrounding ai revolution platform tool science engineering research innovation simulation platform tool empower researcher omniverse nasa bmw simulate nextgen rd cosmos isaac grt ai graphic research breakthrough neural rendering generation world simulation power amazing advance humanoid robotics autonomous vehicle remember still havent crossed threshold enough people trust selfdriving thats nvidias foundational work still important ive said many time past year simulation everything training physical world model one oldest best example nvidia gpu cluster used train european space agency telescope euclid set map universe looking dark matter dark energy knowing telescope would consume terabyte data day scientist engineer wanted model simulate billion galaxy sent equipment space simulation may seen word niratias acronym stand nothing real simulation fun concept people throw around fantasize doomerize unconsciously live matrix case nvidia helping researcher reverseengineer matrix create realworld innovation ai advancing simulation capability simulation capability advancing ai system said sanja fidler vice president ai research nvidia there authentic powerful coupling two field combination really want dig detail nvidia accomplishing start post siggraph lead blog link paper relevant partner nvidia open portal world robotics new omniverse library cosmos physical ai model ai computing infrastructure physical ai embodied edge intelligence there lot new terminology surrounding ai revolution keep simple think connect hardware software make operate feedback loop right ton ai workload dependent cloud connect robot autonomous machine trained let loose wild may always good connection cloud thats edge application become extremely important run machine autonomously safely weve seen humanoid running human robot may indeed coming u might softer revolution first jason calacanis outspoken come among silicon valley elite vc he also well pluggedin company trend shaping future speaks listen here robot prediction youre going see amazon massively invested ai replace factory worker driver robotic mean worker going away every amazon worker ups gone fedex gone he right jensen work cut necessarily amazon need nvidia build necessary infrastructure rest world one last question steven jetsons future robot terminator future robot told betting jetsons future im betting morpheus err jensen mean ill get meet incredible people like steven real life breaking nvidia denies report wccftech developing humanoid robot nvidia build core technology infrastructure robot maker build robot developing manufacturing robot jensen co best giving elroy jetsons world favorite power tool kevin cook senior strategist zacks investment research run tazr trader portfolio spends time following innovation nvidia creating new multitrilliondollar industry havent looked zacks top stock since top stockpicking strategy blown away sps average gain per year amazingly soared average gain per year today access live pick without cost obligation see stock free medium contact zacks investment research ext supportzackscom httpswwwzackscom past performance guarantee future result inherent investment potential loss material provided informational purpose nothing herein constitutes investment legal accounting tax advice recommendation buy sell hold security recommendation advice given whether investment suitable particular investor assumed investment security company sector market identified described profitable information current date herein subject change without notice view opinion expressed may reflect firm whole zacks investment research engage investment banking market making asset management activity security return hypothetical portfolio consisting stock zacks rank rebalanced monthly zero transaction cost return actual portfolio stock sp unmanaged index visit httpswwwzackscomperformance information performance number displayed press release want latest recommendation zacks investment research today download best stock next day click get free report nvidia corporation nvda free stock analysis report article originally published zacks investment research zackscom zacks investment research,0
Nvidia Earnings Preview: Will AI Momentum Power Another Blowout Report?,https://www.forbes.com/sites/adamsarhan/2025/08/26/nvidia-earnings-preview-will-ai-momentum-power-another-blowout-report/,2025-08-26T10:23:47Z,NVDA,,0
The Fed Just Shifted On Inflation: What It Means For Your Portfolio,https://www.forbes.com/sites/robertdaugherty/2025/08/24/the-fed-just-shifted-on-inflation-what-it-means-for-your-portfolio/,2025-08-24T19:30:09Z,NVDA,,1
